姓名,科目1,科目1,科目1,科目1,科目1
陳筱涵,92,50,70,53,62
黃心航,83,61,54,88,58
賴苑禾,50,76,55,45,40
張韋成,63,51,52,56,52
李雅怡,60,54,87,41,92
劉萬季,51,53,94,95,91
戴萱能,54,64,68,99,100
吳麗卿,94,100,79,54,87
羅幸娥,42,48,60,69,92
王品星,70,59,92,59,52
景歡燦,58,88,52,66,60
林志喜,57,63,72,43,99
張凱妮,44,40,73,88,61
白美珍,61,97,67,98,95
杜明延,100,85,57,56,87
張伊映,71,71,67,80,94
周琬婷,52,47,69,61,48
楊韋廷,61,62,46,48,84
郭坤花,56,51,74,92,85
藍姿婷,85,68,47,78,84
張莉雯,50,46,89,91,46
王雅琴,92,78,44,97,67
陳彥治,99,97,65,45,57
王怡君,44,43,99,54,78
龐皓芳,78,67,89,49,54
李政成,65,80,75,57,68
吳淑惠,64,89,49,82,51
林思賢,65,68,63,91,84
王雅琴,58,54,96,74,99
陳家年,56,56,47,62,98
林詠斌,45,90,86,77,51
張凡成,70,42,42,63,41
陳冠竹,68,46,42,69,44
游倫城,74,67,61,91,97
林志成,97,40,80,48,85
黃偉剛,40,98,50,79,40
龐皓芳,80,42,100,65,43
臧怡君,81,88,87,85,71
溫重意,56,78,54,96,59
盧冠發,73,98,62,46,85
蒙淑惠,45,85,65,83,40
吳振瑋,68,92,72,69,99
林志成,66,80,72,71,43
孫火清,52,94,93,81,92
陳向愛,64,53,88,97,42
翁羽威,100,54,56,57,71
鄭琇亞,85,68,63,68,51
張天亨,87,100,56,68,49
陳孝邦,93,95,57,93,90
王筱婷,86,100,78,52,46
